participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
614e2cd1989a33f47e767420,dopo,13,DO_plausible,54,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,9,passive_v2,55,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,40,filler,56,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,17,DO_implausible,57,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,3,active_v2,58,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,35,filler,59,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,12,DO_implausible,60,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,19,filler,61,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,8,DO_plausible,62,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,15,filler,63,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,39,filler,64,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,4,active_v1,65,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,9,PO_plausible,66,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,8,filler,67,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,1,PO_implausible,68,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,16,PO_implausible,69,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,46,filler,70,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,6,active_v2,71,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,3,filler,72,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,36,filler,73,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,48,filler,74,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
