participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,any_questions,english_first_language,country_of_birth
60b9689dc626572895cb801b,filler,44,filler,54,No,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,6,PO_plausible,55,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,18,DO_plausible,56,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,28,filler,57,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,9,PO_plausible,58,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,41,filler,59,No,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,39,filler,60,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,14,PO_plausible,61,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,1,DO_plausible,62,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,15,filler,63,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,7,filler,64,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,act-pass2,5,active_v1,65,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,14,filler,66,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,42,filler,67,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,19,filler,68,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,act-pass2,4,active_v2,69,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,16,PO_implausible,70,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,34,filler,71,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,13,filler,72,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,act-pass2,10,passive_v1,73,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,4,filler,74,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,15,PO_implausible,75,Yes,Yes,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,filler,31,filler,76,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,dopo,19,DO_implausible,77,No,No,2023-05-15 00:47:31,NA,Yes,United States
60b9689dc626572895cb801b,act-pass2,8,active_v2,78,No,No,2023-05-15 00:47:31,NA,Yes,United States
